"Country","Pop","PopDens","Prop_UrbanPop","PressLiberty","PerCapita_HealthExp_2016","COVID19_CasesPerMillion","ConstitutionalForm","HeadOfState"
"Panama",4314767,58,68,29.78227949,1750.3,129.3233215,"Republic","Executive"
"Paraguay",7132538,18,62,32.3965931,767.8,5.74830446,"Republic","Executive"
"Peru",32971854,26,79,30.2162548,681,17.5907609,"Republic","Executive"
"Philippines",109581078,368,47,40.87901618,342.3,6.451843812,"Republic","Executive"
"Poland",37846611,124,60,28.88947549,1784.4,32.26180542,"Republic","Executive"
"Portugal",10196709,111,66,12.63248684,2778.4,347.5631206,"Republic","Executive"
"Qatar",2881053,248,96,42.51418099,3926.1,190.5553282,"Absolute monarchy","Executive"
"Romania",19237691,84,55,25.67152173,1152.2,53.48874769,"Republic","Executive"
"Rwanda",12952218,525,18,52.42602571,130.4,3.860342684,"Republic","Executive"
"Saudi Arabia",34813871,16,84,64.48448777,3117.2,29.06887315,"Absolute monarchy","Executive"
"Senegal",16743927,87,49,25.80693509,141.7,6.27093035,"Republic","Executive"
"Serbia",8737371,100,56,31.17961872,1322.6,43.94914672,"Republic","Ceremonial"
"Seychelles",98347,214,56,29.40631629,1122.6,71.17654834,"Republic","Executive"
"Slovakia",5459642,114,54,18.22354556,2172.2,41.39465555,"Republic","Ceremonial"
"Slovenia",2078938,103,55,22.31305097,2772.2,270.3303321,"Republic","Ceremonial"
"South Africa",59308690,49,67,22.18560468,1071.3,15.63008726,"Republic","Executive"
"Sri Lanka",21413249,341,18,39.60550034,491.5,4.950206295,"Republic","Executive"
"Suriname",586632,4,65,16.37583261,907.6,13.63716947,"Republic","Executive"
"Sweden",10099265,25,88,8.309440514,5386.7,281.208583,"Constitutional monarchy","Ceremonial"
"Thailand",69799978,137,51,43.48534155,635,14.97135142,"Constitutional monarchy","Ceremonial"
"Togo",8278724,152,43,29.69348608,99.9,2.778205917,"Republic","Executive"
"Trinidad and Tobago",1399488,273,52,24.74375641,2180.5,46.44555723,"Republic","Ceremonial"
"Tunisia",11818619,76,70,29.60583605,806.3,16.66861416,"Republic","Executive"
"Turkey",84339067,110,76,50.052447,1089.2,43.02869511,"Republic","Executive"
"Ukraine",43733762,75,69,32.45501394,534.2,4.481663389,"Republic","Executive"
"United Arab Emirates",9890402,118,86,42.62444226,2546.2,33.66900557,"Constitutional monarchy","Executive"
"United Kingdom",67886011,281,83,22.23147691,4177.8,173.997556,"Constitutional monarchy","Ceremonial"
"Uruguay",3473730,20,96,16.0577482,1958.9,62.46887352,"Republic","Executive"
"Uzbekistan",33469203,79,50,53.5172768,416.9,2.240866028,"Republic","Executive"
