Earnings,NrComps,Prof,Unprof,Workers,FAssets,CAssets,FCAssets,Assets,Equity,Liab,LTLiab,STLiab,SUBLiab,MatExp,PersExp,Dep
2.268,13,10,3,0.707,8.984,5.468,14.452,14.459,11.323,2.929,0.195,2.735,-0.001,10.046,1.264,1.166
102.764,127,80,47,19.263,183.93,308.207,492.137,494.426,319.835,165.542,4.346,161.182,0.014,270.405,52.72,13
13.088,67,39,28,13.61,71.569,82.059,153.628,157.173,96.61,54.114,4.874,49.043,0.197,175.45,31.586,10.013
-8.234,186,114,72,7.604,21.742,113.681,135.423,135.709,17.774,88.362,0.811,87.484,0.067,458.05,18.328,5.049
11.739,225,130,95,21.257,265.117,110.992,376.109,377.818,235.734,133.231,26.225,106.95,0.056,240.826,52.478,22.694
14.096,304,176,128,6.313,38.379,77.894,116.273,117.677,69.764,45.63,3.437,42.163,0.03,213.884,16.433,6.113
34.17,128,80,48,9.15,92.825,245.114,337.939,338.904,198.127,125.441,4.223,121.12,0.098,664.099,20.238,9.966
4.832,534,332,202,6.462,18.565,34.474,53.039,53.743,32.8,20.193,6.185,13.727,0.281,34.576,12.093,2.221
4.263,252,179,73,4.479,13.563,21.53,35.093,35.469,22.96,11.205,1.706,9.469,0.03,33.572,10.793,1.517
4.997,256,169,87,2.249,11.9,18.867,30.767,31.003,19.884,10.705,1.108,9.57,0.027,28.846,6.071,1.395
0.433,74,41,33,0.504,2.829,2.048,4.877,4.895,3.342,1.331,0.364,0.963,0.004,3.24,1.037,0.156
-0.001,8,2,6,0.024,0.149,0.315,0.464,0.469,0.032,0.436,0.083,0.353,0,0.179,0.021,0.019
0.315,29,16,13,3.972,65.747,79.302,145.049,145.288,100.487,37.127,0.462,36.665,0,184.564,13.247,11.375
5.166,51,30,21,1.522,13.46,26.724,40.184,40.325,10.09,29.634,4.234,25.398,0.002,52.207,5.26,1.481
125.848,158,102,56,27.613,523.213,641.339,1164.552,1168.173,879.417,229.135,19.864,208.94,0.331,1301.816,86.755,77.236
0.009,35,15,20,0.154,0.279,0.34,0.619,0.623,0.219,0.396,0.057,0.339,0,0.629,0.234,0.052
0.136,40,19,21,0.16,0.654,0.528,1.182,1.187,0.319,0.864,0.177,0.533,0.154,1.289,0.207,0.07
2.324,37,27,10,6.308,15.578,36.861,52.439,55.171,16.915,35.237,2.486,32.752,-0.001,52.135,17.147,2.349
0.497,34,18,16,0.713,5.258,6.422,11.68,11.718,1.549,8.801,3.402,5.396,0.003,7.683,4.641,0.73
0.256,25,15,10,0.672,1.63,3.546,5.176,5.193,1.79,3.163,0.938,2.213,0.012,5.32,0.755,0.258
0.008,5,4,1,0.019,0.003,0.025,0.028,0.029,0.001,0.027,0,0.027,0,0.038,0.013,0.001
0.257,23,14,9,0.604,1.699,1.727,3.426,3.453,1.801,1.609,0.296,1.24,0.073,4.301,1.345,0.12
1.01,272,138,134,4.791,10.521,12.196,22.717,22.822,11.048,11.225,2.594,8.06,0.571,23.89,6.693,1.021
0.588,203,113,90,2.2,6.362,6.058,12.42,12.539,5.848,6.358,1.21,5.059,0.089,12.045,2.998,0.677
0.001,228,121,107,1.479,3.362,3.639,7.001,7.088,2.168,4.745,1.078,3.515,0.152,8.017,1.978,0.356
1.572,600,323,277,6.475,12.325,15.898,28.223,28.39,11.375,16.495,2.747,12.754,0.994,33.795,7.479,1.54
0.16,16,10,6,0.186,1.642,2.484,4.126,4.138,2.516,1.584,0.106,1.475,0.003,5.564,0.994,0.142
0.219,6,2,4,0.1,0.325,1.191,1.516,1.526,1.116,0.361,0.006,0.355,0,1.224,0.361,0.048
0.007,136,61,75,0.529,0.711,2.003,2.714,2.729,0.588,2.042,0.417,1.571,0.054,2.754,0.502,0.083
0.041,31,20,11,0.13,0.373,0.25,0.623,0.624,0.148,0.438,0.126,0.297,0.015,0.524,0.19,0.043
0.466,64,41,23,0.648,2.736,3.388,6.124,6.966,3.436,3.452,0.304,3.107,0.041,5.071,1.02,0.258
0.467,121,65,56,1.63,3.896,3.412,7.308,7.382,2.645,4.554,1.048,3.195,0.311,5.078,2.172,0.639
0.003,13,6,7,0.07,0.029,0.109,0.138,0.138,-0.031,0.167,0.003,0.164,0,0.209,0.09,0.01
0.03,25,14,11,1.707,0.972,1.44,2.412,2.414,1.195,1.097,0.21,0.882,0.005,3.499,1.989,0.159
1.098,164,96,68,2.807,6.393,9.739,16.132,16.188,7.509,7.931,1.924,5.965,0.042,15.017,4.12,0.741
0.823,75,36,39,0.887,5.374,8.614,13.988,14.103,4.519,9.158,2.334,6.228,0.596,35.309,1.88,0.634
0.083,87,41,46,0.581,3.177,2.135,5.312,5.446,1.305,3.902,1.286,2.259,0.357,4.66,0.7,0.299
34.439,76,21,55,13.554,428.231,168.998,597.229,610.714,292.75,266.14,164.868,101.15,0.122,207.094,63.64,43.743
-2.832,3,2,1,1.841,316.152,39.318,355.47,377.263,278.93,86.615,34.051,52.564,0,404.853,8.732,11.837
39.653,69,33,36,10.218,441.342,110.453,551.795,569.869,300.035,163.799,22.638,141.153,0.008,640.993,39.858,53.313
-0.017,5,2,3,0.012,0.237,0.235,0.472,0.472,0.285,0.186,0,0.186,0,0.033,0.008,0.023
23.002,24,9,15,6.518,199.36,69.119,268.479,305.788,150.91,100.442,11.958,88.485,-0.001,353.163,23.887,23.729
5.898,138,74,64,7.004,132.647,32.837,165.484,175.251,100.035,61.944,25.814,36.126,0.004,112.765,20.436,11.567
5.813,274,205,69,22.934,333.609,42.993,376.602,384.714,190.607,155.705,131.069,24.024,0.612,72.705,51.934,15.709
5.247,1160,642,518,6.722,24.058,37.666,61.724,62.285,23.231,37.68,8.072,28.415,1.193,73.073,9.091,2.917
0.355,31,18,13,0.212,0.62,0.942,1.562,1.567,0.965,0.586,0.063,0.505,0.018,1.386,0.286,0.087
38.607,8128,4470,3658,68.048,262.187,515.683,777.87,809.483,254.551,501.813,71.125,426.71,3.978,1033.723,114.077,24.699
1.127,1190,622,568,4.98,7.56,29.619,37.179,37.649,8.917,27.391,1.79,25.195,0.406,66.266,5.862,1.47
21.207,546,343,203,8.707,321.512,169.795,491.307,494.086,172.764,249.33,127.611,121.189,0.53,184.105,22.101,7.562
0.993,133,86,47,1.928,15.67,10.564,26.234,26.616,17.883,7.943,1.037,6.905,0.001,15.473,4.109,0.837
5.558,1301,717,584,9.033,36.092,68.746,104.838,106.289,33.841,68.978,13.43,54.344,1.204,123.535,15.798,3.889
7.024,2151,1278,873,10.368,18.849,45.818,64.667,65.197,29.615,34.196,3.52,30.161,0.515,86.933,15.881,2.697
0.921,277,156,121,1.849,4.713,8.043,12.756,13.022,5.181,7.719,0.491,7.161,0.067,17.903,3.142,0.412
3.691,2051,1116,935,11.065,18.86,73.565,92.425,93.17,22.159,68.587,5.463,59.289,3.835,106.311,19.064,2.856
2.872,903,514,389,5.877,11.591,29.736,41.327,42.038,15.914,24.23,2.682,21.43,0.118,60.427,10.314,1.423
0.09,174,76,98,0.608,0.529,1.86,2.389,2.408,0.701,1.667,0.211,1.428,0.028,4.642,0.714,0.108
0.504,535,233,302,1.709,2.802,6.593,9.395,9.459,2.631,6.694,0.552,6.083,0.059,16.481,1.878,0.44
0.528,611,259,352,1.895,2.363,6.214,8.577,8.623,2.651,5.925,0.899,4.917,0.109,15.85,1.779,0.395
0.306,1034,481,553,3.194,3.431,6.996,10.427,10.577,3.681,6.787,1.175,5.433,0.179,16.177,3.518,0.654
1.935,777,402,375,3.919,12.978,18.881,31.859,32.145,10.419,19.986,6.828,12.884,0.274,34.446,5.176,1.398
1.385,90,58,32,0.967,4.789,3.922,8.711,8.799,4.861,3.827,0.809,2.913,0.105,6.13,1.877,0.921
50.999,4138,2331,1807,32.435,240.437,459.867,700.304,712.665,175.197,503.595,71.5,426.678,5.417,1727.1,60.04,31.316
2.813,2001,1014,987,9.637,22.068,27.975,50.043,50.649,18.741,31.073,6.985,23.222,0.866,74.712,11.836,2.63
12.816,1812,1048,764,8.8,33.748,101.218,134.966,135.716,54.303,79.004,8.666,69.117,1.221,232.532,13.591,3.395
0.528,192,100,92,0.632,3.811,5.723,9.534,9.562,2.646,6.726,1.643,4.802,0.281,14.519,0.754,0.3
10.884,807,494,313,7.31,66.503,45.44,111.943,116.671,42.81,70.851,3.731,66.262,0.858,372.407,12.751,5.801
1.658,635,342,293,1.451,11.126,27.803,38.929,39.271,9.701,28.369,3.656,24.099,0.614,82.494,2.592,1.04
48.331,215,131,84,0.887,62.166,230.982,293.148,295.021,76.547,216.381,26.589,189.46,0.332,683.1,3.314,4.174
1.104,455,225,230,0.98,3.532,10.396,13.928,14.236,3.754,10.038,1.308,8.556,0.174,34.011,1.379,0.367
4.307,459,261,198,1.544,6.857,26.621,33.478,34.158,11.729,20.461,1.985,18.324,0.152,59.925,5.317,1.207
0.957,250,143,107,1.081,3.931,7.82,11.751,11.82,3.485,8.097,1.215,6.719,0.163,15.685,1.459,0.435
2.286,393,211,182,1.286,12.005,11.113,23.118,24.145,12.714,11.196,1.389,9.682,0.125,16.526,1.533,1.452
-0.535,360,187,173,0.821,3.816,11.431,15.247,15.364,4.246,10.234,1.413,8.646,0.175,37.315,2.098,0.4
6.204,904,477,427,2.677,12.953,47.479,60.432,61.007,18.624,40.316,3.382,36.61,0.324,86.382,8.2,2.111
5.925,1269,624,645,3.696,45.402,53.815,99.217,100.235,28.382,67.92,20.33,45.595,1.995,99.226,7.365,4.666
7.639,1067,609,458,4.348,31.932,128.329,160.261,162.072,45.067,113.624,7.309,105.316,0.999,370.3,8.447,2.609
0.181,189,96,93,0.729,2.155,3.403,5.558,5.582,1.485,4.046,0.829,3.149,0.068,13.606,0.867,0.218
1.15,362,196,166,0.832,4.499,20.753,25.252,25.426,5.829,19.075,1.643,17.219,0.213,90.168,1.234,0.613
0.052,38,20,18,0.138,0.233,0.945,1.178,1.18,0.373,0.801,0.043,0.727,0.031,2.753,0.153,0.04
1.811,850,496,354,4.043,19.751,32.023,51.774,52.385,15.13,35.035,5.816,28.198,1.021,141.317,4.309,1.54
2.444,374,219,155,2.832,18.188,20.872,39.06,39.608,13.576,25.506,4.72,20.257,0.529,98.236,3.86,1.314
1.183,161,97,64,1.091,6.028,13.577,19.605,19.809,6.126,13.298,0.86,12.312,0.126,60.38,2.268,0.455
2.819,340,161,179,3.276,16.576,50.967,67.543,68.385,23.263,42.345,4.24,37.708,0.397,161.23,5.478,1.254
5.01,29,17,12,1.254,4.027,40.388,44.415,44.722,6.851,37.358,0.406,36.952,0,256.497,3.455,0.448
4.987,232,113,119,1.151,4.305,20.822,25.127,25.414,6.288,18.145,1.328,16.637,0.18,74.109,2.347,0.621
0.349,73,34,39,0.413,2.607,4.707,7.314,7.419,1.734,5.509,1.056,4.33,0.123,13.694,0.556,0.388
6.009,732,396,336,6.818,26.892,53.753,80.645,81.982,28.763,50.92,6.869,43.189,0.862,174.978,8.689,2.512
19.322,434,245,189,11.551,50.836,141.627,192.463,198.244,48.15,139.047,4.79,134.04,0.217,605.361,27.206,7.795
3.574,995,580,415,5.666,24.032,44.442,68.474,68.953,22.974,38.954,6.208,31.15,1.596,78.116,6.08,1.51
5.304,1831,1027,804,7.172,18.459,81.319,99.778,100.447,29.601,68.953,7.239,58.887,2.827,130.736,10.268,2.234
7.947,603,346,257,16.24,23.357,114.212,137.569,138.589,29.132,104.754,8.812,95.376,0.566,265.153,9.264,3.202
0.54,263,144,119,1.155,6.531,13.118,19.649,19.821,5.958,13.604,4.848,8.29,0.466,29.797,2.051,1.278
6.525,235,114,121,2.407,8.975,37.235,46.21,46.528,19.967,23.854,4.087,19.579,0.188,96.054,7.902,1.404
21.25,478,313,165,6.367,45.892,181.31,227.202,229.796,70.51,152.085,10.861,141.044,0.18,629.443,35.207,5.998
13.019,1543,907,636,8.881,35.495,106.404,141.899,146.492,54.441,88.448,12.311,74.926,1.211,248.145,16.191,4.236
4.744,175,102,73,0.853,9.217,110.772,119.989,142.705,42.017,77.621,1.089,76.334,0.198,548.591,2.276,0.708
2.026,192,113,79,1.02,11.496,44.893,56.389,56.699,12.736,42.606,1.784,40.676,0.146,137.311,2.939,0.56
12.108,1638,933,705,8.777,56.108,93.496,149.604,150.675,59.62,88.538,16.794,70.584,1.16,279.21,15.652,4.819
12.797,831,562,269,5.524,37.212,97.499,134.711,135.501,54.641,79.172,10.718,68.073,0.381,245.851,13.268,3.007
12.022,623,392,231,4.044,27.112,116.593,143.705,144.584,43.087,97.15,29.302,67.447,0.401,293.873,12.947,2.615
2.611,155,102,53,0.961,6.453,17.055,23.508,24.148,11.001,12.429,0.76,11.568,0.101,41.163,3.251,0.942
2.659,313,184,129,2.13,9.523,15.742,25.265,25.962,8,17.576,2.092,15.283,0.201,78.067,3.345,1.022
1.56,211,136,75,0.811,3.447,11.809,15.256,15.429,5.855,9.357,1.217,7.92,0.22,24.385,2.169,0.481
2.249,97,66,31,0.664,6.322,15.547,21.869,22.015,8.322,13.405,2.339,10.989,0.077,29.171,1.998,1.315
0.042,39,24,15,0.131,0.273,2.078,2.351,2.363,0.448,1.897,0.065,1.802,0.03,4.084,0.211,0.046
6.725,529,297,232,3.067,15.756,70.968,86.724,88.002,29.017,55.467,4.563,50.483,0.421,232.66,7.94,2.914
1.493,81,55,26,0.746,2.668,24.772,27.44,27.875,4.247,22.89,0.685,22.189,0.016,73.394,2.258,0.851
0.622,35,23,12,0.153,1.496,2.672,4.168,4.184,2.8,1.242,0.024,1.217,0.001,4.888,0.47,0.085
8.38,572,366,206,3.259,17.614,56.556,74.17,75.735,35.246,38.598,2.578,35.861,0.159,113.602,10.705,2.49
5.736,209,142,67,2.341,17.234,45.648,62.882,64.151,22.003,39.508,2.58,36.808,0.12,173.644,8.403,1.776
56.062,3562,2008,1554,18.809,281.688,434.607,716.295,726.711,353.348,348.322,47.334,298.518,2.47,844.64,56.536,14.894
13.199,3864,1941,1923,67.618,307.76,226.267,534.027,549.852,252.714,276.824,24.161,250.635,2.028,1200.456,107.239,21.66
11.547,2359,1317,1042,19.764,79.942,111.01,190.952,192.44,67.484,121.051,27.052,91.543,2.456,380.522,31.98,9.067
-0.152,393,124,269,0.971,1.682,1.794,3.476,3.51,0.757,2.711,0.627,1.872,0.212,11.142,0.755,0.211
0.361,365,175,190,2.201,4.705,4.094,8.799,8.864,3.342,5.348,1.085,4.168,0.095,28.571,2.059,0.525
0.001,17,11,6,0.036,0.065,0.059,0.124,0.125,0.007,0.114,0.046,0.067,0.001,0.162,0.029,0.007
-0.009,221,82,139,0.853,1.275,0.867,2.142,2.173,0.349,1.778,0.69,1.022,0.066,4.665,0.701,0.176
0.522,248,95,153,0.629,1.109,3.169,4.278,4.325,1.634,2.395,0.507,1.781,0.107,12.178,0.943,0.15
0.072,69,40,29,0.196,0.238,0.814,1.052,1.057,0.315,0.728,0.064,0.657,0.007,4.005,0.179,0.039
1.459,473,240,233,2.403,6.392,7.893,14.285,14.439,4.445,8.7,1.362,7.052,0.286,40.704,3.364,0.843
20.222,1629,1236,393,10.992,27.289,60.692,87.981,88.876,37.202,51.095,3.11,47.84,0.145,305.771,23.127,2.813
2.03,386,237,149,1.393,4.234,11.689,15.923,16.035,6.697,9.083,0.908,8.065,0.11,27.391,3.01,0.754
1.404,300,116,184,1.716,6.508,10.892,17.4,17.914,7.821,9.773,0.794,8.808,0.171,29.735,3.185,0.825
0.261,533,258,275,2.368,4.931,11.491,16.422,16.507,5.774,10.557,2.191,7.95,0.416,19.67,2.746,0.555
-0.338,2803,1269,1534,14.342,21.425,45.186,66.611,67.771,19.115,47.804,9.752,35.621,2.431,74.662,10.274,2.018
-0.327,459,201,258,2.063,3.547,9.46,13.007,13.103,3.584,9.39,2.291,6.725,0.374,17.466,2.311,0.478
3.604,927,468,459,4.969,19.251,27.513,46.764,47.611,15.72,31.145,3.897,26.204,1.044,83.73,7.661,1.764
3.308,1050,573,477,4.587,11.622,36.086,47.708,48.224,14.591,33.06,2.207,30.399,0.454,113.875,5.439,1.252
8.23,1973,1261,712,9.812,32.896,59.149,92.045,92.846,37.184,54.912,10.256,42.819,1.837,209.485,11.718,3.223
1.973,903,487,416,4.781,9.77,19.393,29.163,31.213,9.7,19.923,2.675,17.033,0.215,70.545,6.641,1.413
6.82,4183,2158,2025,15.466,42.397,94.546,136.943,138.312,46.918,87.927,14.177,71.814,1.936,278.321,19.523,5.362
-0.341,597,223,374,2.029,7.424,6.749,14.173,14.291,7.799,6.157,1.467,4.418,0.272,13.673,3.292,0.505
-0.218,82,30,52,0.367,7.83,4.944,12.774,13.116,1.357,11.436,4.376,7.011,0.049,13.15,1.379,0.304
-0.985,812,393,419,1.478,0.777,6.836,7.613,7.633,0.978,6.637,0.529,5.58,0.528,6.803,1.358,0.131
1.162,2349,753,1596,1.77,4.124,12.601,16.725,17.483,5.819,10.662,0.85,9.608,0.204,44.92,2.591,0.679
0.038,39,17,22,1.297,0.442,0.349,0.791,0.804,0.244,0.472,0.129,0.289,0.054,0.97,0.96,0.065
0.193,334,182,152,1.056,1.547,3.155,4.702,4.742,1.905,2.511,0.354,2.062,0.095,6.314,1.315,0.239
-0.05,48,21,27,0.145,0.135,0.636,0.771,0.772,0.104,0.641,0.021,0.617,0.003,0.754,0.211,0.026
0.253,258,106,152,0.973,2.066,2.688,4.754,4.789,1.746,2.976,0.321,2.604,0.051,6.117,1.19,0.293
2.093,1188,543,645,20.562,288.795,54.892,343.687,349.121,157.438,179.177,106.27,54.417,18.49,78.116,41.786,10.298
0.047,94,44,50,0.477,5.244,1.247,6.491,6.537,2.171,3.478,2.292,1.137,0.049,2.323,0.653,0.283
-0.003,65,28,37,0.451,3.401,0.484,3.885,3.914,2.781,1.034,0.387,0.522,0.125,0.766,0.576,0.132
0.124,669,210,459,1.236,16.852,5.672,22.524,22.76,10.275,11.807,5.699,5.689,0.419,4.797,1.545,0.713
-0.511,5383,2034,3349,29.573,82.142,34.528,116.67,117.996,30.599,82.033,24.928,48.932,8.173,123.97,29.474,7.657
-1.242,1811,534,1277,4.233,8.783,5.912,14.695,14.841,1.502,13.092,4.305,7.997,0.79,17.28,3.271,1.093
0.398,240,109,131,3.455,2.398,3.588,5.986,6.08,2.706,3.202,0.899,2.262,0.041,12.378,4.227,0.424
0.411,127,56,71,2.683,2.456,2.504,4.96,4.987,1.942,2.853,0.303,2.543,0.007,10.303,3.161,0.351
-33.401,10,7,3,55.002,697.156,66.989,764.145,776.898,168.905,480.403,413.664,66.739,0,297.331,123.062,32.748
-28.078,105,62,43,33.746,279.185,22.829,302.014,302.673,170.127,50.497,16.555,33.941,0.001,90.279,83.864,21.035
-0.066,172,54,118,0.597,1.278,1.281,2.559,2.584,0.451,1.823,0.519,1.189,0.115,2.315,0.663,0.316
0.767,410,257,153,6.131,23.014,7.393,30.407,31.27,14.329,13.809,5.143,8.511,0.155,20.478,14.332,3.555
31.801,4348,2614,1734,34.582,210.514,138.593,349.107,354.641,146.35,198.786,71.43,123.889,3.467,366.355,63.753,32.384
0.02,9,4,5,0.008,0.097,0.064,0.161,0.161,0.045,0.108,0.041,0.067,0,0.665,0.015,0.007
2.708,84,48,36,1.682,10.838,7.64,18.478,18.71,9.825,7.876,1.047,6.751,0.078,12.313,3.507,0.765
-9.206,11,6,5,3.194,36.41,38.306,74.716,76.587,3.657,69.68,14.223,35.527,19.93,98.826,20.249,5.1
1.674,55,30,25,0.45,5.499,4.457,9.956,10.095,4.979,4.847,0.628,4.219,0,10.255,1.718,0.407
1.111,97,65,32,1.216,12.678,6.441,19.119,19.326,8.888,9.909,4.368,5.504,0.037,13.488,2.535,0.684
7.629,307,171,136,3.135,184.324,48.432,232.756,235.392,74.629,153.109,27.925,124.234,0.95,25.403,7.35,3.939
-7.775,175,89,86,8.381,323.385,33.933,357.318,358.016,56.245,260.189,242.298,17.819,0.072,37.509,20.603,12.663
0.239,31,14,17,0.191,2.629,1.166,3.795,3.888,1.545,1.752,0.341,1.175,0.236,1.222,0.38,0.198
3.095,38,16,22,2.495,50.211,24.723,74.934,95.803,15.555,74.036,66.898,7.135,0.003,13.104,10.04,5.106
1.051,916,475,441,4.591,21.701,34.487,56.188,58.251,19.484,34.484,5.423,26.623,2.438,149.8,8.35,1.728
14.129,1337,817,520,11.216,50.636,93.513,144.149,148.473,50.568,90.43,10.187,79.629,0.614,321.097,31.3,6.262
4.292,32,21,11,41.627,84.645,114.073,198.718,200.695,91.766,103.588,7.808,95.78,0,60.794,79.667,10.686
0.406,224,113,111,1.08,1.482,3.239,4.721,4.794,1.984,2.429,0.262,2.145,0.022,9.193,2.64,0.302
147.612,495,280,215,20.132,1431.25,233.721,1664.971,1723.558,692.259,918.593,354.329,547.961,16.303,540.109,135.578,171.327
-316.089,217,203,14,35.18,3194.29,9896.531,13090.821,13338.633,1083.331,11788.117,2055.974,9551.567,180.576,195.279,195.477,37.299
-19.018,70,48,22,1.164,160.34,719.459,879.799,911.165,32.629,867.302,394.895,469.575,2.832,246.915,6.844,0.886
8.594,263,164,99,2.084,4976.91,2788.478,7765.388,7850.21,4939.033,2823.269,1941.379,880.187,1.703,95.347,12.107,12.675
-6.307,200,99,101,1.006,118.425,82.428,200.853,202.995,95.033,96.985,2.322,94.579,0.084,12.13,4.437,1.561
-6.622,24,8,16,3.17,412.655,44.164,456.819,473.62,49.794,28.162,10.08,18.001,0.081,37.994,13.571,1.922
0.386,4,2,2,0.006,0.132,0.527,0.659,0.842,0.701,0.007,0,0.007,0,0.148,0.106,0.01
-2.027,35,20,15,6.549,402.302,29.406,431.708,451.23,67.735,42.252,0.073,42.177,0.002,51.811,31.928,2.646
0.434,3,1,2,0.178,6.059,21.75,27.809,28.439,19.429,8.725,0,8.725,0,1.214,1.527,0.982
17.281,94,48,46,1.253,239.534,53.798,293.332,313.588,62.395,65.397,0.143,65.246,0.008,24.948,7.517,1.488
2.288,528,304,224,1.958,11.521,24.302,35.823,36.693,18.29,17.67,2.851,14.639,0.18,21.351,4.629,1.533
5.573,1303,802,501,2.536,26.897,48.56,75.457,79.355,20.109,46.83,3.008,43.745,0.077,40.712,6.886,2.603
10.255,1308,482,826,1.995,421.137,122.404,543.541,549.122,142.694,384.268,226.685,154.381,3.202,62.688,3.607,13.968
47.317,8850,4023,4827,22.56,1245.889,792.556,2038.445,2061.947,572.24,1406.876,672.52,701.347,33.009,536.518,36.477,41.74
43.378,4355,2152,2203,15.256,1253.876,247.956,1501.832,1541.05,720.819,775.609,477.896,288.386,9.327,138.356,27.203,42.051
0.973,757,328,429,1.401,20.636,15.456,36.092,36.562,8.981,26.399,7.251,18.717,0.431,13.898,2.396,1.708
-0.743,656,311,345,6.129,138.83,42.005,180.835,184.785,81.149,82.348,38.525,36.572,7.251,54.633,14.392,4.664
7.097,229,116,113,1.073,75.649,19.335,94.984,97.959,11.885,78.196,21.814,56.186,0.196,33.141,3.103,20.604
0.721,81,38,43,0.127,11.485,1.665,13.15,13.325,1.738,11.111,7.779,3.305,0.027,1.212,0.317,2.713
0.011,31,12,19,0.036,0.717,0.47,1.187,1.193,0.7,0.418,0.216,0.173,0.029,1.298,0.023,0.052
0.075,13,7,6,0.041,0.45,0.379,0.829,0.836,0.312,0.514,0.138,0.376,0,0.949,0.101,0.026
0.167,37,17,20,0.026,2.158,0.707,2.865,2.872,1.611,1.229,0.522,0.693,0.014,0.517,0.038,0.306
5.283,178,103,75,1.089,15.002,11.376,26.378,27.821,13.718,13.443,2.252,11.035,0.156,9.321,2.54,5.632
0.356,54,29,25,0.068,15.993,4.375,20.368,20.854,11.107,9.652,6.528,3.09,0.034,1.093,0.133,3.319
1.183,252,120,132,0.889,46.14,12.463,58.603,60.238,10.073,47.378,23.428,23.66,0.29,9.682,2.201,10.645
0.292,293,121,172,0.634,1.604,2.505,4.109,4.171,1.036,3.055,0.495,2.483,0.077,4.531,0.642,0.556
1.531,499,280,219,1.529,4.617,11.371,15.988,16.306,6.273,9.613,1.116,8.427,0.07,31.858,2.993,0.762
10.679,3105,1721,1384,9.805,51.604,80.12,131.724,139.959,81.037,54.376,6.137,47.86,0.379,119.955,27.709,8.929
-1.612,1139,683,456,4.812,26.959,47.878,74.837,77.456,31.378,40.116,7.759,32.127,0.23,79.439,20.79,5.757
4.145,623,326,297,6.491,16.644,43.387,60.031,61.783,17.757,41.161,0.586,40.436,0.139,26.604,13.265,4.943
0.811,312,151,161,1.299,10.649,7.322,17.971,18.433,12.017,5.103,0.589,4.509,0.005,14.969,3.941,2.967
1.317,806,508,298,2.398,4.394,9.666,14.06,14.185,5.976,7.894,1.128,6.567,0.199,28.292,3.683,0.906
0.244,1174,635,539,3.687,11.104,30.586,41.69,44.346,13.081,27.99,2.254,25.595,0.141,75.453,14.329,3.81
3.73,816,454,362,4.873,44.174,33.289,77.463,79.047,38.283,35.121,17.73,16.921,0.47,36.227,17.502,3.394
0.053,251,136,115,0.424,1.798,2.196,3.994,4.187,1.508,1.864,0.729,1.125,0.01,3.203,1.111,0.254
9.194,780,429,351,3.083,8.104,32.731,40.835,41.591,21.451,19.548,2.043,16.783,0.722,18.296,9.033,2.005
7.966,5831,3222,2609,14.139,33.242,41.71,74.952,77.007,42.075,32.806,5.53,26.564,0.712,45.692,25.076,5.039
3.057,475,254,221,1.613,23.375,24.627,48.002,48.748,36.08,11.119,0.499,10.522,0.098,36.241,6.075,0.974
11.341,6526,3496,3030,12.391,785.931,370.571,1156.502,1777.035,855.318,898.167,569.247,319.741,9.179,202.605,37.058,23.741
-1.33,719,359,360,4.32,1295.59,457.299,1752.889,1799.019,1364.137,406.198,187.14,217.51,1.548,115.885,16.969,32.626
24.605,6635,3988,2647,22.924,116.495,188.024,304.519,313.958,138.225,160.503,26.879,131.456,2.168,274.276,55.25,12.895
2.915,665,408,257,3.698,13.817,15.104,28.921,29.199,16.104,12.04,2.033,9.852,0.155,20.936,9.981,2.065
7.398,1745,912,833,5.355,21.75,59.385,81.135,84.477,28.345,51.173,2.706,47.866,0.601,195.573,12.442,3.74
1.063,552,256,296,18.855,3.336,14.948,18.284,19.072,5.863,12.647,1.027,11.39,0.23,23.949,31.613,0.565
2.187,2207,1101,1106,19.728,17.901,33.484,51.385,53.036,18.077,33.405,4.276,28.258,0.871,105.46,23.788,2.779
2.211,1089,631,458,27.978,8.532,15.007,23.539,23.888,9.576,13.65,1.935,11.602,0.113,33.427,19.495,1.661
0.328,347,166,181,1.233,21.882,5.78,27.662,27.942,20.454,6.737,1.397,5.161,0.179,14.331,1.822,0.915
0.699,161,88,73,6.099,3.791,6.373,10.164,10.259,4.047,5.949,0.902,4.989,0.058,16.658,5.267,0.505
0.523,820,432,388,1.008,1.857,3.226,5.083,5.15,2.114,2.941,0.396,2.426,0.119,7.554,1.409,0.37
0.024,13,7,6,0.303,0.071,0.391,0.462,0.505,0.081,0.398,0,0.396,0.002,0.324,0.339,0.025
11.409,4971,2595,2376,17.229,118.924,228.403,347.327,359.103,190.585,155.275,47.937,106.409,0.929,156.911,35.744,9.144
-0.095,160,52,108,0.506,0.322,0.506,0.828,0.834,0.311,0.456,0.105,0.349,0.002,0.777,0.748,0.083
0.038,65,25,40,0.146,0.366,0.285,0.651,0.656,0.286,0.113,0.006,0.107,0,0.338,0.26,0.036
0.08,120,54,66,0.374,0.921,0.887,1.808,2.032,0.78,0.602,0.049,0.546,0.007,1.305,1.139,0.16
0.092,111,58,53,0.111,0.456,0.412,0.868,0.88,0.457,0.346,0.053,0.287,0.006,0.701,0.241,0.083
0.311,184,113,71,0.643,0.948,1.129,2.077,2.09,1.111,0.836,0.123,0.7,0.013,3.015,1.452,0.158
3.2,2264,1317,947,5.547,14.021,17.031,31.052,32.195,16.27,11.577,1.785,9.516,0.276,30.886,12.677,2.229
