Team,Goals,Assists,Yellow Cards,Red Cards,xG,xAG,Shots,Shots on Target,Avg Shot Distance,Free Kicks,Possession,TouchesAtt3rd,Passes Live,Corner Kicks,Points,Season,Country
Mallorca,33,27,105,4,40.5,30.8,415,131,16.8,4,45.0,4390,13739,173,40,2023-2024,ESP
Osasuna,45,32,78,5,40.5,28.5,421,124,17.9,14,47.5,5586,15309,170,45,2023-2024,ESP
Rayo Vallecano,29,12,108,5,42.3,24.6,487,160,20.8,47,49.4,5091,15351,169,38,2023-2024,ESP
Real Madrid,85,66,69,4,68.8,52.5,593,242,17.5,24,59.2,7813,22843,211,95,2023-2024,ESP
Real Sociedad,48,36,98,2,44.9,30.7,457,147,17.8,24,55.3,5377,17319,198,60,2023-2024,ESP
Sevilla,46,30,108,4,44.9,31.7,487,160,17.5,15,50.3,5652,16643,180,41,2023-2024,ESP
Valencia,39,24,64,5,43.1,27.0,368,123,18.7,16,44.3,4440,14286,124,49,2023-2024,ESP
Villarreal,64,47,110,8,55.6,40.5,462,163,16.2,8,49.6,5250,16709,174,53,2023-2024,ESP
Almería,49,33,98,4,45.5,32.5,439,155,18.1,21,45.1,4071,13865,147,41,2022-2023,ESP
Athletic Club,46,33,81,5,54.2,38.9,541,157,17.1,13,51.6,6645,16594,257,51,2022-2023,ESP
Atlético Madrid,68,51,92,8,61.9,48.0,538,195,17.0,9,50.6,5714,18630,183,77,2022-2023,ESP
Barcelona,69,56,84,6,75.5,60.1,570,187,15.8,20,64.3,7894,22836,244,88,2022-2023,ESP
Betis,43,26,83,15,51.3,34.6,411,138,18.1,21,50.6,5226,16255,152,60,2022-2023,ESP
Cádiz,29,20,116,7,41.5,27.7,390,108,18.2,12,41.9,4091,12025,145,42,2022-2023,ESP
Celta Vigo,41,31,85,6,42.6,30.8,470,160,19.0,19,50.2,5553,16495,184,43,2022-2023,ESP
Elche,30,21,99,12,37.5,27.1,400,124,16.9,10,45.5,4363,13769,204,25,2022-2023,ESP
Espanyol,51,31,99,10,48.3,35.0,417,151,17.3,13,43.1,4471,12685,179,37,2022-2023,ESP
Getafe,34,21,126,9,36.7,22.5,365,116,18.0,19,39.9,3993,12118,119,42,2022-2023,ESP
Girona,55,41,92,3,50.6,37.5,446,160,17.2,6,51.3,4932,16633,145,49,2022-2023,ESP
Mallorca,36,27,120,5,35.2,26.5,324,107,17.4,8,41.1,3792,12483,139,50,2022-2023,ESP
Osasuna,36,30,93,7,39.8,28.4,441,133,18.7,7,48.0,5331,14900,159,53,2022-2023,ESP
Rayo Vallecano,41,29,90,6,43.9,30.0,510,146,20.6,24,51.2,6029,15514,189,49,2022-2023,ESP
Real Madrid,73,56,72,3,75.5,56.8,634,206,18.6,32,60.9,8463,23163,226,78,2022-2023,ESP
Real Sociedad,47,36,90,2,52.9,39.7,465,173,17.4,15,54.6,5762,17244,165,71,2022-2023,ESP
Sevilla,47,31,121,13,46.3,32.0,463,141,18.1,17,52.6,5984,17244,174,49,2022-2023,ESP
Valencia,40,23,93,8,49.3,32.5,480,140,17.5,18,52.0,6255,15405,226,42,2022-2023,ESP
Valladolid,32,24,94,6,38.5,28.4,443,137,19.6,19,48.7,4583,14336,170,40,2022-2023,ESP
Villarreal,57,33,91,4,61.6,43.2,499,188,18.0,22,56.9,6181,17980,210,64,2022-2023,ESP
